id,Design/Style,Color/Print/Pattern,Sleeves,Detail,Shoulder,Neckline,Effect/Finish,Hem,Trim,Material,Back,Hood
17298622,boxy,White,short sleeves,logo print,None,round neck,distressed finish,straight hem,None,cotton,None,None
12523195,classic,white,short-sleeve,T-shirt,None,None,cotton,None,None,cotton,None,None
20176014,bodysuit,black,long sleeves,"mesh panelling, cut-out detailing",None,high neck,None,None,None,mesh,None,None
18213443,oversize,Grey,short sleeves,logo print to the front,drop shoulder,round neck,None,straight hem,None,cotton,None,None
20199474,top,floral-print,sleeveless,smocked panel,None,sweetheart neck,None,straight hem,spaghetti straps,None,rear zip fastening,None
20024373,Polo Bear cotton T-shirt,white,short sleeves,signature Polo Bear motif,None,crew neck,None,straight hem,None,cotton,None,None
19557822,halterneck linen top,ecru,sleeveless,halterneck tie fastening,None,square neck,None,straight hem,None,linen,open back,None
19642341,crew neck sweatshirt,black,long sleeves,logo print at the sleeve,None,crew neck,None,None,None,organic cotton,None,None
20579865,blouse,"['light pink', 'multicolour', 'paisley print']",long sleeves,ruffled detailing,None,high neck,semi-sheer construction,straight hem,buttoned cuffs,silk,None,None
20046906,mesh top,"chocolate brown, monogram pattern",long sleeves,straight hem,None,funnel neck,None,straight hem,None,recycled polyamide blend,None,None
20893859,T-shirt,white/black,short sleeves,"logo print to the front, logo print at the sleeve",None,crew neck,None,straight hem,None,"organic cotton blend, recycled polyester blend",None,None
19832305,shirt,vertical stripe white/brown,long sleeves,buttoned cuffs,None,classic collar,None,curved hem,None,cotton,None,None
19908583,cropped top,multicolour,None,None,off-shoulder,None,stretch-design,cropped,None,None,None,None
19474371,sweatshirt,ecru,long sleeves,"logo print to the front, graphic print to the front",None,round neck,None,None,None,cotton,None,None
18475550,batwing-sleeve shirt,Majolica print,batwing sleeves,classic collar,None,front button fastening,None,straight hem,None,silk,None,None
19482604,tank top,light blue,sleeveless,"mesh panelling, pintuck detailing, logo print",None,round neck,stretch-design,straight hem,None,None,scoop back,None
19949140,Sierra,black,long sleeves,gold-tone logo plaque,off-shoulder,None,stretch-cotton,straight hem,"spaghetti straps, strap detailing",cotton,None,None
20101585,sheer top,ivory white,long sleeves,"faux-pearl embellishment, diamond-pattern embroidery",None,round neck,semi-sheer construction,straight hem,None,None,None,None
20609709,blouse,"['white', 'rose pink']",long sleeves,"['brooch detail', 'floral appliqué', 'ruched detailing']",shoulder pads,plunging V-neck,crepe texture,high-low hem,all-over rose print,None,None,None
19696366,one-shoulder,cream white,spaghetti straps,rear criss-cross straps,one-shoulder,None,None,straight hem,None,lyocell,open back,None
17855812,polo shirt,White/black,short sleeves,embroidered logo,None,spread collar,None,straight hem,ribbed cuffs,None,None,None
18689474,shirt,whisper white,long wide sleeves,chest patch pocket,None,pointed flat collar,None,curved hem,buttoned cuffs,organic cotton,None,None
20303140,T-shirt,white,short sleeves,crystal embellishment,None,crew neck,None,None,None,cotton,None,None
20044238,cropped top,Majolica print,sleeveless,logo underband,None,scoop neck,stretch-design,cropped,None,None,scoop back,None
21028441,bodysuit,optical white,long sleeves,logo patch to the front,None,scoop neck,fine ribbed,None,front button placket,stretch-cotton,None,None
20527848,cropped,black,short sleeves,embroidered logo at the chest,drop shoulder,mock neck,None,straight hem,None,cotton,None,None
15335184,T-shirt,white,half-length sleeves,logo print at the chest,drop shoulder,round neck,Reverse logo print,None,None,organic cotton,None,None
20067071,shirt,aqua blue,short sleeves,"all-over logo print, polka dot print, chest patch pocket, two side patch pockets",None,Cuban collar,None,straight hem,None,silk,None,None
15489252,ribbed tank top,Black,sleeveless,fine ribbed,None,scoop neck,None,straight hem,None,organic cotton/Tencel blend,None,None
21285130,corset style,navy blue,None,contrast stitching,None,bustier top,denim,None,silver-tone hardware,stretch-cotton,rear zip fastening,None
19992723,tank top,midnight blue,sleeveless,curved,None,scoop neck,stretch,curved,None,silk-blend,None,None
19906870,T-shirt,"ivory white, red",short sleeves,"appliqué logo, graphic print",None,crew neck,None,straight hem,None,organic cotton,graphic print to the rear,None
16865380,T-shirt,White,short sleeves,logo-print,drop shoulder,high-neck,None,curved hem,None,cotton,logo print to the rear,None
17610111,waistcoat,white,None,silk panelling,None,None,button fastening,None,None,silk blend,None,None
19141123,roll-neck top,white,long sleeves,logo print at the neckline,None,roll neck,fine knit,None,None,virgin wool blend,None,None
15744581,bralette,Black,None,lace embroidery,spaghetti straps,V-neck,None,cropped,None,cotton-blend,None,None
19410054,sweatshirt,black,long sleeves,Boke Flower patch,None,crew neck,None,straight hem,None,cotton,None,None
21127127,T-shirt,white,short sleeves,"logo print at the chest, logo print to the rear",None,crew neck,None,straight hem,None,organic cotton,None,None
20143365,T-shirt,navy blue,short sleeves,embroidered logo at the chest,None,crew neck,None,straight hem,None,cotton,None,None
17337012,T-shirt,Black,short sleeves,logo-print,distressed effect,crew neck,distressed effect,straight hem,None,cotton,None,None
20023306,bustier top,black,None,logo-embossed straps,None,bustier-style neckline,patent finish,straight hem,gold-tone hardware,None,None,None
20472951,cropped top,black/white,long sleeves,bow detailing,None,contrasting collar,embossed crocodile effect,straight hem,None,faux leather,None,None
20199475,cropped top,"floral-print, white/blue",None,"bow detailing, smocked panel",None,square neck,None,"straight hem, cropped",lace trim,linen,rear zip fastening,None
20047076,draped,multicolour,sleeveless,cut-out detailing,one-shoulder,None,None,asymmetric hem,None,stretch-jersey,None,None
19549926,rollneck top,"orange, all-over floral print",long sleeves,Conscious: This item is made from at least 50% recycled or upcycled materials.,None,roll neck,stretch-design,straight hem,None,recycled polyamide,None,None
20578525,asymmetric,navy blue,sleeveless,draped detailing,None,crew neck,None,straight hem,geometric panelled design,stretch-cotton,concealed rear fastening,None
20047049,T-shirt,white/multicolour,short sleeves,logo print to the front,None,crew neck,None,straight hem,cropped,stretch-cotton,None,None
14549453,plissé shirt,None,long sleeves,button cuffs,None,None,plissé,None,None,None,None,None
18735003,zip-up hoodie,beige,long sleeves,front zip fastening,None,None,None,straight hem,None,cashmere,None,drawstring hood
20254709,sports bra,sky blue,None,tonal stitching,wide shoulder straps,square neck,stretch-design,None,logo print to the rear,None,scoop back,None
19470545,camisole,black,None,spaghetti straps,None,square neck,None,None,None,silk,None,None
20068268,top,"multicolour, all-over graphic print",long sleeves,stretch-design,None,round neck,None,straight hem,None,None,None,None
20245482,peplum,fuchsia pink,sleeveless,bow detailing,None,round neck,None,peplum hem,None,None,rear zip fastening,None
19383550,draped,black,single long sleeve,one-sleeve,None,None,crepe texture,cropped,None,None,None,None
18710185,T-shirt,white,short sleeves,graphic print,None,crew neck,None,straight hem,None,cotton,None,None
20030920,hoodie,ocean blue,long sleeves,embroidered logo at the chest,None,None,fleece texture,ribbed hem,ribbed cuffs,fleece,None,slouchy hood
20135171,blouse,ivory white,sleeveless,ruffled detailing,smocked panel,square neck,poplin texture,curved hem,None,organic cotton,None,None
20209596,graphic-print long-sleeve shirt,green,long sleeves,mother-of-pearl,None,classic collar,None,straight hem,None,silk,None,None
16811298,crew neck sweatshirt,grey,long sleeves,signature face patch,None,crew neck,mélange effect,ribbed hem,ribbed cuffs,organic materials,None,None
19957684,T-shirt,black,short sleeves,signature box logo,None,round neck,None,straight hem,None,cotton,None,None
21411336,bolero,violet purple,long sleeves,ladder-stitch detailing,None,None,stretch-design,None,full-finger design,knitted construction,None,None
19414009,T-shirt,"white, gold-tone",short sleeves,logo print at the chest,None,round neck,metallic effect,straight hem,None,cotton,None,None
18554964,T-shirt,"black, gold-tone",short sleeves,"logo print to the front, logo-embossed buttons",None,round neck,metallic finish,straight hem,None,cotton,None,None
19247291,T-shirt,black,short sleeves,logo print at the chest,None,round neck,None,None,None,cotton,None,None
17010820,two-tone,Off-white/black,long sleeves,logo print to the front,None,crew neck,None,None,None,cotton-blend,None,None
20135176,T-shirt,white/multicolour,short sleeves,"logo print to the front, graphic print to the front",None,crew neck,None,None,None,organic cotton,None,None
20068266,Armour smocked,black,long sleeves,crystal-embellished buttons,smocking details,round neck,None,None,None,cotton,front hook and eye fastening,None
20358884,tank top,optical white,sleeveless,logo print to the front,racerback,round neck,None,straight hem,None,stretch-cotton,racerback,None
20250353,T-Shirt,beige,short sleeves,embroidered logo,None,crew neck,jersey knit,straight hem,None,cotton,None,None
20579852,blouse,"midnight blue, marbled pattern",long draped sleeves,"scarf detailing, buttoned cuffs",drop shoulder,cowl neck,crepe texture,curved hem,None,silk,None,None
19906683,top,"beige, multicolour, floral print",sleeveless,gathered detailing,None,square neck,None,None,None,None,None,None
17590694,crop top,White,None,logo print,None,halterneck,fine ribbed,cropped,None,organic cotton,None,None
20490815,corset top,black,None,sheer panelling,adjustable shoulder straps,None,stretch-design,straight hem,None,None,rear zip fastening,None
20063448,cropped T-shirt,cream white,short sleeves,gathered detailing,None,V-neck,None,cropped,fringed edge,cotton,None,None
14483600,vintage check shirt,archive beige,short sleeves,button-through tabs,None,classic collar,None,curved hem,concealed button fastening,stretch cotton,None,None
19128949,T-shirt,black,short sleeves,signature Ami de Coeur monogram,None,crew neck,None,straight hem,None,organic cotton,None,None
18764862,cut-out off-shoulder top,black,long sleeves,cut-out detailing,off-shoulder,None,stretch-design,straight hem,None,None,None,None
18475593,peplum blouse,Majolica-print,None,None,wide shoulder straps,sweetheart neck,None,peplum hem,None,cotton,concealed rear zip fastening,None
19604392,mesh top,multicolour,long sleeves,abstract pattern print,None,round neck,None,None,None,recycled polyester blend,None,None
17846603,blouse,White,bishop sleeves,ruffled detailing,None,high-neck,None,elasticated hem,front tie fastening,cotton,None,None
20254330,sports bra,"blue, pink",None,"signature Greca detailing, Medusa Head motif, logo underband",None,square neck,jersey knit,None,None,stretch-cotton,racerback,None
21261186,T-shirt,white,short sleeves,logo patch at the chest,None,round neck,None,None,None,None,None,None
20794401,sweatshirt,grey,long raglan sleeves,"crystal embellishment, logo embellishment",shoulder pads,crew neck,embellished,straight hem,ribbed trim,organic cotton,None,None
19548630,strapless,brown,None,multi-panel design,None,strapless,None,straight hem,None,None,None,None
18695643,T-shirt,khaki,long sleeves,embroidered logo,None,round neck,None,straight hem,None,organic cotton,None,None
20143363,vest,"['caramel brown', 'dark orange', 'animal print']",sleeveless,knitted construction,None,crew neck,None,straight hem,None,knitted,None,None
15489253,sleeveless tank top,White,sleeveless,ribbed knit,None,scoop neck,jersey knit,straight hem,None,organic cotton blend,None,None
20545866,asymmetric,black,short sleeves,ruffled detailing,None,mock neck,jersey knit,None,None,cotton,None,None
20211396,cropped T-shirt,black,short sleeves,glass crystal embellishment,None,crew neck,None,straight hem,None,cotton,None,None
19481848,T-shirt,black,short sleeves,Monili-embellished,None,round neck,jersey knit,straight hem,signature Monili chain,cotton,None,None
19915661,top,ecru,None,seam detailing,thin shoulder straps,V-neck,silk satin,straight hem,None,silk-satin,single rear button fastening,None
18954300,sweatshirt,slate grey,long sleeves,graphic print to the front,drop shoulder,crew neck,washed,straight hem,ribbed trim,cotton,None,None
18659860,tank top,white,sleeveless,logo,None,scoop neck,None,straight hem,logo trim,cotton,cropped,None
20086577,T-shirt,ivory white,short sleeves,short side slits,drop shoulder,crew neck,None,straight hem,None,cotton,None,None
20270355,corset style,earth brown,sleeveless,Medusa plaque detail,cut-out detailing,None,all-over logo print,cropped,leather trim,None,None,None
15633101,button-up shirt,Black,short sleeves,front button fastening,None,notched collar,None,straight hem,None,organic linen,None,None
17849226,embellished,white,long sleeves,embellished,None,V-neck,None,straight hem,None,cotton blend,None,None
20542847,blouse,emerald green,long sleeves,"gathered detailing, ruffled detailing",None,gathered tie neck,None,ruffle hem,None,None,None,None
19949141,Sierra cotton top,brown,long sleeves,gold-tone logo plaque,off-shoulder,None,None,None,spaghetti straps,stretch-cotton,None,None
17730661,Large Fit,Black,long sleeves,logo print at the chest,None,None,loopback knit,ribbed cuffs,drawstring,cotton,None,drawstring hood
19595191,zipped hoodie,navy blue,None,signature Ami de Coeur monogram motif,None,None,None,straight hem,None,stretch-cotton,None,drawstring hood
20747008,tank top,black,None,fine ribbed,thin shoulder straps,scoop neck,None,straight hem,None,cotton,None,None
20046907,mesh top,light beige,long sleeves,flocked logo,None,mock neck,None,straight hem,logo tag,recycled polyamide blend,None,None
18998982,T-shirt,anthracite grey,short sleeves,logo print at the chest,None,crew neck,None,straight hem,logo patch to the front,cotton,None,None
20101583,oversized,indigo blue,extra-long sleeves,washed,drop shoulder,pointed flat collar,washed denim,straight hem,two chest flap pockets,cotton,None,None
20270997,asymmetric,black,long sleeves,one-shoulder,one-shoulder,round neck,stretch-design,asymmetric hem,None,None,None,None
20468033,Allover top,flamingo pink,sleeveless,safety pin,None,scoop neck,terry-cloth effect,straight hem,all-over logo print,cotton,rear zip fastening,None
20203801,track jacket,"sand beige, black/white",long sleeves,side stripe detailing,None,high neck,velvet effect,ribbed hem,ribbed cuffs,cotton blend,None,None
16983717,Muskoka drawstring hoodie,Black,long sleeves,logo patch at the sleeve,None,drawstring hood,None,ribbed hem,ribbed cuffs,cotton,None,drawstring hood
19696360,one-shoulder-strap,light grey,None,transparent design,one-shoulder,None,None,None,spaghetti straps,"organic cotton, silk blend",low back,None
19460266,T-shirt,white,short sleeves,logo lettering,None,crew neck,None,None,None,cotton,None,None
20103160,bustier shirt,chocolate brown,long sleeves,logo-buckle fastening,None,camp collar,poplin texture,curved hem,buttoned cuffs,organic cotton,None,None
19908404,corset style,multicolour,None,tassel detail,adjustable shoulder straps,square neck,None,cropped,patchwork design,silk,rear zip fastening,None
20236852,T-shirt,white/black,short sleeves,"decorative button detailing, logo print to the front",None,crew neck,None,straight hem,None,cotton,None,None
19825651,T-shirt,white/multicolour,long sleeves,"['slogan print', 'logo print at the chest', 'cat print']",None,round neck,soft jersey,straight hem,None,organic cotton,None,None
19594303,cropped T-shirt,navy blue,short sleeves,logo print to the front,None,crew neck,None,straight hem,None,cotton,None,None
19832282,bustier bodysuit,white/black,sleeveless,panelled design,None,bustier-style neckline,topstitching,high-cut leg,None,stretch-cotton denim,None,None
20077964,graphic-print,charcoal grey,short sleeves,"graphic print to the front, graphic print to the rear",drop shoulder,crew neck,jersey knit,straight hem,None,cotton,graphic print to the rear,None
19813591,rugby shirt,coffee brown,long sleeves,Emblem patch at the chest,None,polo collar,None,straight hem,front pouch pocket,cotton,None,None
20120329,cut-out long-sleeve top,black,long sleeves,cut-out detailing,halterneck,halterneck,None,straight hem,None,cotton blend,None,None
19907679,wide-sleeved ruched blouse,ecru,long wide sleeves,ruched detailing,None,band collar,None,curved hem,None,cotton,None,None
20187238,cropped,lilac purple,long sleeves,ribbed cuffs,drop shoulder,None,None,straight hem,None,organic cotton,None,drawstring hood
19921941,tank top,black,sleeveless,halterneck tie fastening,None,halterneck,None,straight hem,None,organic cotton blend,None,None
19391178,cropped bodice top,leopard-print,None,sweetheart neck,wide shoulder straps,sweetheart neck,None,cropped,None,silk blend,exposed rear zip fastening,None
20471259,long-sleeve shirt,"multicolour, all-over floral print, mix print","long sleeves, buttoned cuffs",front button fastening,None,classic collar,crepe de chine,straight hem,None,stretch-cotton,None,None
19557101,T-shirt,black,short sleeves,signature Polo Pony motif,None,crew neck,None,straight hem,None,cotton,None,None
19949691,Classic Stripes,vertical stripe pattern,long sleeves,ruffled,None,band collar,semi-sheer construction,None,ruffled trim,silk,None,None
20046886,corset top,blue/white,None,bow detailing,lace shoulder straps,square neck,None,cropped,None,linen,None,None
20266170,short-sleeve T-shirt,dark grey,short sleeves,"graphic print to the front, mini logo tag, logo print to the rear",None,crew neck,None,straight hem,None,stretch-cotton,logo print to the rear,None
17152207,T-shirt,Grey,short sleeves,signature Ami de Coeur monogram motif,None,crew neck,None,straight hem,None,organic cotton,None,None
19173398,bralette style,jet black,None,monogram pattern,thin shoulder straps,scoop neck,None,cropped,lace trim,cotton blend,scoop back,None
18844953,T-shirt,"['black', 'dark orange', 'crescent moon print']",long sleeves,jersey knit,None,round neck,None,straight hem,None,None,None,None
19649446,Safari,light blue,buttoned cuffs,front button fastening,None,pointed flat collar,None,None,None,linen blend,None,None
20841634,Moto long-sleeve T-shirt,"bubblegum pink, multicolour",long sleeves,all-over graphic print,None,round neck,jersey texture,straight hem,None,stretch organic cotton,None,None
19595214,short-sleeve T-shirt,flamingo pink,short sleeves,signature Ami de Coeur monogram motif,drop shoulder,crew neck,jersey knit,straight hem,embroidered logo at the chest,cotton,embroidered logo to the rear,None
19172423,blouse,ivory white,long sleeves,jacquard logo motif,None,V-neck,semi-sheer,straight hem,pussy-bow collar,None,None,None
18952711,T-shirt,grey,short sleeves,graphic print to the front,None,round neck,None,None,None,cotton,None,None
19620623,beach-print shirt,"green, multicolour",short sleeves,painterly print,None,camp collar,None,None,None,cotton,None,None
20188883,T-shirt,burgundy,short sleeves,signature Arrows motif,None,round neck,None,None,None,cotton,None,None
20140807,corset top,ivory white,spaghetti straps,semi-sheer construction,None,None,signature Oblique monogram pattern,straight hem,boned bodice,powermesh,rear zip fastening,None
17229111,vest,Bright white,sleeveless,ribbed detailing,None,crew neck,None,straight hem,None,None,None,None
19396962,two-tone,black/white,long sleeves,logo print to the front,None,crew neck,None,straight hem,None,cotton blend,None,None
19657749,T-shirt,camouflage-print,short sleeves,glass crystal embellishment,shoulder pads,mock neck,None,straight hem,None,cotton blend,None,None
19908432,Diagonal-cutt long-sleeved body,black,long sleeves,cut-out detailing,off-shoulder,None,stretch-design,None,None,None,None,None
19592694,hoodie,grey,long sleeves,signature Ami de Coeur monogram motif,None,None,None,straight hem,ribbed trims,virgin wool,None,drawstring hood
19549035,ruched patchwork top,fuchsia pink,spaghetti straps,ruched detailing,None,square neck,stretch-design,lettuce hem,None,None,None,None
20187236,sweatshirt,grey,long sleeves,logo patch at the chest,drop shoulder,None,mélange effect,straight hem,None,cotton,None,None
19595213,short-sleeve T-shirt,black,short sleeves,signature Ami de Coeur monogram motif,drop shoulder,crew neck,jersey knit,straight hem,embroidered logo,cotton,embroidered logo to the rear,None
20466670,plunge-neck,black,long sleeves,feather-trim detailing,None,plunging V-neck,None,straight hem,ostrich feather,None,None,None
19595081,hoodie,cream white,long sleeves,signature Ami de Coeur monogram motif,None,None,knitted construction,ribbed hem,ribbed cuffs,virgin wool,None,drawstring hood
19204887,long-sleeve shirt,white,long sleeves,front button fastening,None,collarless,None,None,None,cotton,None,None
18672998,oversized,light beige,long sleeves,logo print at the chest,drop shoulder,None,None,None,ribbed trim,organic cotton,None,drawstring hood
19384060,wraparound,olive green,long sleeves,curved hem,None,spread collar,None,cropped,None,silk,None,None
19708391,sleeveless asymmetric top,black,sleeveless,cut-out detailing,None,None,gold-tone,straight hem,None,None,None,None
20103102,long-sleeve shirt,"beige, pinstripe pattern","long sleeves, buttoned cuffs",chest patch pocket,None,classic collar,None,straight hem,None,None,None,None
20383566,cropped,black,long sleeves,chain-link neck strap,None,None,ribbed knit,None,None,wool-cashmere blend,None,None
19558742,Kinetic,black,sleeveless,bead-embellished,None,plunging V-neck,None,straight hem,None,knitted,None,None
19185675,cropped shirt,black,sleeveless,embroidered logo at the chest,pads,classic collar,None,cropped,concealed front fastening,organic cotton,None,None
18976943,cropped drawstring hoodie,black,long sleeves,embroidered logo,None,None,None,cropped,None,cotton,None,drawstring hood
20103105,overshirt,dark grey,long sleeves,two chest flap pockets,None,classic collar,None,curved hem,None,cotton,None,None
20473591,corset style,jet black,sleeveless,contrast stitching,adjustable spaghetti straps,square neck,stretch-design,straight hem,None,organic cotton blend,square open back,None
17152095,T-shirt,White,short sleeves,signature Ami de Coeur monogram motif,None,round neck,None,straight hem,None,organic cotton,None,None
19594506,sweatshirt,sky blue,long sleeves,"embroidered logo at the chest, signature Ami de Coeur monogram motif",None,crew neck,None,elasticated hem,elasticated cuffs,organic cotton,None,None
20469206,bandeau top,black,None,pleated,strapless,None,voile,cropped,organza panels,cotton lining,rear zip fastening,None
20249766,hoodie,beige,long sleeves,embroidered logo,None,None,jersey fleece,straight hem,fitted-cuff sleeves,cotton,None,drawstring hood
17363476,ribbed-knit short-sleeved T-shirt,white,short sleeves,ribbed knit,None,round neck,stretch,straight hem,None,organic cotton,None,None
20159977,cropped top,blue/white,short puff sleeves,drawstring hem,None,round neck,None,drawstring,front button fastening,cotton,None,None
20265900,cut-out cropped sweatshirt,black,long sleeves,cut-out detailing,None,crew neck,jersey fleece,straight hem,ribbed cuffs and hem,cotton blend,None,None
17997509,T-shirt,White,short sleeves,Carbon Neutral Certification,None,round neck,organic,None,None,organic cotton,None,None
16750397,hoodie,Black/white/blue,long sleeves,"logo-print, graffiti print",drop shoulder,hood,Sprayed,front pouch pocket,None,cotton,None,drawstring hood
20645995,draped asymmetric,black,extra-long,split cuffs,None,asymmetric neck,None,asymmetric hem,None,cotton,None,None
18765068,logo-print,black,short sleeves,logo print to the front,None,crew neck,None,None,None,cotton,None,None
18790502,polo shirt,cloud white,short sleeves,"embroidered logo at the chest, embroidered logo to the rear",None,polo collar,piqué weave,straight hem,None,cotton,None,None
20046022,bustier top,cherry-print,sleeveless,scalloped edge,None,bustier-style neckline,None,cropped,None,None,rear zip fastening,None
20469201,T-shirt,beige,short sleeves,"sequin embellishment, bow detailing",None,plunging V-neck,stretch-design,None,None,None,None,None
20044988,shirt,"all-over floral print, lavender purple",long puff sleeves,gold-tone buttons,None,mock neck,None,straight hem,buttoned cuffs,linen-silk blend,None,None
20250610,T-shirt,white/multicolour,short sleeves,graphic print to the front,None,round neck,None,straight hem,None,cotton,None,None
21413317,shirt,"Vintage Check, royal blue, off-white",long sleeves,"zip-fastening chest pocket, press-stud fastening cuffs",None,straight-point collar,None,straight hem,None,wool blend,None,None
20083381,T-shirt,black,short sleeves,"graphic print to the front, logo print to the rear",None,round neck,None,straight hem,None,organic cotton,None,None
20140801,corset shirt,white,long sleeves,hook and eye fastenings,None,spread collar,None,curved crop hem,None,cotton-blend,None,None
19549034,tank top,bright green,None,lettuce hem,None,scoop neck,None,lettuce,lettuce-trim,None,rear lace-up fastening,None
20569773,T-shirt,coral red,short sleeves,logo print at the chest,None,crew neck,None,straight hem,None,organic cotton,None,None
19605565,polo shirt,ivory white,short sleeves,4-Bar,None,polo collar,None,None,None,cotton,None,None
19595215,Ami de Coeur short-sleeve T-shirt,medium grey,short sleeves,signature Ami de Coeur monogram motif,drop shoulder,crew neck,mélange effect,straight hem,embroidered logo,cotton,embroidered logo to the rear,None
19592666,cropped,blue/white,short sleeves,"logo print to the front, graphic print to the front",None,round neck,None,straight hem,None,cotton,None,None
19166689,halterneck top,multicolour,None,all-over stripe pattern,None,halterneck,stretch knit,straight hem,None,knit,None,None
20233728,shirt,"Pennant-print light brown, black",long sleeves,"mother-of-pearl button fastening, buttoned cuffs",None,notched collar,satin weave,curved hem,contrasting trim,silk,None,None
14452049,oversized,white,long sleeves,"buttoned cuffs, chest patch pocket",None,point collar,None,long curved hem,None,linen,back box pleat,None
20046873,top,light blue,None,"['smocked panel', 'tie-fastening straps']",None,notched collar,None,straight hem,None,silk,rear zip fastening,None
20046887,Cora linen top,white,short sleeves,open back,None,square neck,None,None,None,linen,open back,None
18374949,shirt,white,long sleeves,teddy bear print,None,classic collar,None,curved hem,None,cotton,None,None
20134141,blouse,blue,short sleeves,front tie fastening,None,round neck,vertical stripe pattern,straight hem,None,organic cotton,None,None
20140808,corset style,black,detachable bolero sleeves,open knit,None,halterneck,None,cropped,None,None,concealed rear zip fastening,None
19813590,Square shirt,multicolour,short sleeves,CSC Square photographic print,None,notched collar,None,straight hem,None,None,None,None
20475250,rugby top,black,long sleeves,Pony Club crest embroidery,None,rugby collar,None,straight hem,None,cotton,None,None
19595224,Breton-stripe T-shirt,"['white', 'navy blue', 'red']",long sleeves,signature Ami de Coeur monogram motif,None,crew neck,None,None,None,cotton,None,None
16390323,blouse,Black,long puff sleeves,ruffle-trimmed,None,ruffle collar,None,None,front tie fastening,None,None,None
20265999,hoodie,charcoal grey,long sleeves,"teddy bear print, pixelated print",drop shoulder,None,None,straight hem,ribbed cuffs and hem,cotton,logo print to the rear,classic hood
20044975,cropped top,"butterscotch brown, white, gingham check pattern",sleeveless,"open back, halterneck tie fastening, rear tie fastening",None,halterneck,None,cropped,None,linen,open back,None
19037307,long-sleeved top,"black, crescent moon print",long sleeves,stretch-design,None,round neck,None,straight hem,None,None,None,None
19384057,strapless top,ivory white,strapless,cropped,strapless,strapless,None,straight hem,None,linen blend,None,None
18258404,logo print,black,short sleeves,at the chest,None,round neck,None,straight hem,None,cotton,None,None
17404904,corset-style,White,long sleeves,classic collar,None,None,None,straight hem,None,cotton-blend,None,None
20249760,sweatshirt,black,long sleeves,embroidered logo,None,crew neck,None,straight hem,fitted-cuff sleeves,cotton,None,None
21248387,top,dark purple,short puff sleeves,ruffled detailing,None,crew neck,None,straight hem,None,cotton,None,None
19859381,cropped top,black,sleeveless,strap detailing,one-shoulder,None,knitted,None,None,linen blend,open back,None
19751335,tank top,white/black,None,ribbed knit,None,halterneck,None,straight hem,crescent moon print,stretch-cotton,racerback,None
19382353,bodysuit,black,long sleeves,cut-out detailing,None,scoop neck,sheer,None,corset style,cotton,None,None
20319966,T-shirt,black,short sleeves,gemstone detailing,None,crew neck,None,straight hem,"signature Teddy Bear motif, logo print at the chest",organic cotton,None,None
19445528,T-shirt,off-white,short sleeves,rhinestone embellishment,None,round neck,None,straight hem,None,cotton,None,None
19594507,sweatshirt,pink,long sleeves,signature Ami de Coeur monogram motif,None,crew neck,None,elasticated hem,elasticated cuffs,organic cotton,None,None
19577598,hoodie,light grey,long sleeves,logo print at the chest,drop shoulder,None,mélange effect,None,None,cotton,None,drawstring hood
