id,Pattern/Color/Print,Detail,Material,Finish/Effect,Length,Collar,Neck,Design/Silhouette,Hood,Sleeves,Hem
20946246,black,belted waist,"camel hair, wool blend",None,below-knee,notched lapels,None,single-breasted,None,None,straight hem
21114302,beige,reversible,cashmere,None,None,notched lapels,None,single-breasted,None,long sleeves,straight hem
18991003,black,logo patch at the sleeve,duck feather,padded design,None,None,None,None,adjustable hood,long sleeves,None
20308563,multicolour,all-over graphic print,None,padded design,None,None,funnel neck,None,classic hood,long sleeves,None
18378865,black,panelled design,leather,None,mid-length,notched lapels,None,Longline,None,long sleeves,straight hem
20238042,beige,"jetted chest pocket, two side flap pockets",cashmere,None,None,peak lapels,None,double-breasted,None,long sleeves,straight hem
16827307,Blue,down-feather filling,down-feather,None,mid-length,None,None,None,None,long sleeves,None
20515521,dark grey,knitted panels,"alpaca, virgin wool, cashmere",None,None,classic lapels,None,double-breasted coat,None,long sleeves,straight hem
17783516,black,belted,None,None,None,classic collar,None,trench coat,detachable hood,long sleeves,straight hem
20112796,brown,quilted,faux-fur,None,calf-length,collarless,V-neck,open front,None,long sleeves,None
20542814,black,quilted panels,wool-cashmere blend,fringed edge,None,None,funnel neck,cape,None,dolman sleeves,None
20514656,black,padded,down-feather filling,None,knee-length,None,drawstring hood,puffer,drawstring hood,"long sleeves, ribbed cuffs",curved hem
15951191,Brown,shearling trim,sheepskin/shearling,None,mid-length,classic collar,None,None,None,long sleeves,None
20878004,light beige,patchwork design,"nappa leather, shearling",None,knee-length,wide notch lapels,None,drop shoulder,None,long sleeves,front slit
20849911,black,logo patch to the front,"['duck down', 'duck feather']",quilted,None,None,None,parka,classic hood,long sleeves,straight hem
20045170,"blue, multicolour, all-over graphic print",belted waist,stretch-silk,None,floor-length,None,None,cape,None,three-quarter length sleeves,None
17404428,Beige,Vintage Check-pattern lining,cotton gabardine,None,mid-length,spread collar,None,trench coat,None,long sleeves,central rear vent
21003439,navy blue,"serial number print at the heel, wide notch lapels, faux double-breasted front, belt loops, two front patch pockets, central rear vent",wool blend,faux double-breasted,mid-length,wide notch lapels,None,belted midi coat,None,long sleeves,straight hem
14179801,Beige,RWB stripe,cotton twill,waterproof,mid-length,classic collar,None,raglan-sleeve trench overcoat,None,long sleeves,None
21284285,fine check pattern,gold-tone buttons,cotton,None,below-knee length,ribbed band collar,None,single breasted,None,None,central rear vent
16063225,Black,floral-lace detailing,cotton/wool blend,None,mid-length,wide notch lapels,None,flared,None,None,None
19760361,butter yellow,peak lapels,virgin wool-cashmere blend,None,None,peak lapels,None,double-breasted coat,None,long sleeves,straight hem
19907590,black,panelled design,lambskin,None,knee-length,None,high neck,double-breasted,None,long sleeves,central rear vent
20127211,black,belted waist,cotton,padded design,mid-length,classic collar,None,oversized,None,long sleeves,straight hem
20086975,walnut brown,knitted panels,goatskin,None,None,None,high neck,belted-waist,None,half-length sleeves,straight hem
16383428,light beige,"layered design, padded panels, quilted panels, throat latch, epaulettes, belted cuffs, belted waist, two side welt pockets, side press-stud fastening, inverted pleat",wool,None,mid-length,rounded collar,funnel neck,"double-breasted button fastening, concealed front fastening",None,long sleeves,straight hem
20702832,"['battleship grey', 'black']",drawstring hood,None,gold-tone hardware,None,None,None,zip-up parka coat,drawstring hood,long sleeves,rear curved hem
21026589,rose pink,belted waist,virgin wool,None,mid-length,wide notch lapels,None,trench coat,None,long sleeves,straight hem
18945217,beige,epaulettes,wool-cotton blend,None,ankle-length,classic collar,None,Oversized belted trench coat,None,long sleeves,None
19989550,black,padded design,duck down,None,None,notched lapels,high neck,double-breasted,None,long sleeves,straight hem
19618701,black/white,puff shoulders,wool blend,None,mid-calf,notched lapels,None,double-breasted,None,long sleeves,None
21014044,black,padded design,goose down,recycled or upcycled materials,None,None,None,None,classic hood,long sleeves,straight hem
18811482,beige,Vintage Check-pattern lining,wool,None,None,notched lapels,None,reversible,None,long sleeves,straight hem
20889352,black,logo patch to the rear,wool blend,None,knee-length,notched lapels,None,trench coat,None,long sleeves,straight hem
19284653,black,belted waist,None,"crinkled finish, matte finish",mid-length,notched lapels,None,belted trench coat,None,long sleeves,None
20645840,black,quilted,goose down,None,None,None,funnel neck,None,classic hood,long sleeves,straight hem
18936541,black,epaulettes,cotton,None,Long,classic collar,None,Kensington Heritage trench coat,None,long sleeves,None
18759129,navy blue,raw-cut hem,wool,None,None,notched lapels,None,single-breasted,None,long sleeves,straight hem
19349640,"black/green, light pink","chevron stitching, shearling trim","virgin wool blend, goat hair",None,None,notched collar,None,double-breasted,None,long sleeves,straight hem
18872743,"yellow, brown",snakeskin effect,None,snakeskin effect,mid-calf length,peak lapels,None,None,None,long sleeves,straight hem
18914281,black,logo patch at the sleeve,feather down,padded design,None,None,None,None,detachable hood,long sleeves,None
21089664,black,"front button fastening, buttoned cuffs, two front flap pockets","wool blend, cotton",None,above-knee,notched lapels,None,single-breasted,None,long sleeves,straight hem
18495945,black,crystal embellishment,None,metallic effect,long,notched collar,None,double-breasted,None,long sleeves,None
17215809,Black,"Vintage Check-pattern lining, storm flap, epaulettes, central rear vent",cotton gabardine,None,None,notched collar,None,trench coat,None,long sleeves,None
19975098,"leopard-jacquard, chocolate brown, black","shoulder pads, buttoned cuffs, chest welt pocket","recycled wool, recycled polyester",patterned jacquard,mid-length,notched lapels,None,long coat,None,long sleeves,straight hem
21283518,"black/white, herringbone pattern","two front flap pockets, rear slit",recycled wool blend,None,None,spread collar,None,single-breasted coat,None,long sleeves,straight hem
18370349,black,padded design,None,None,long length,None,high neck,puffer coat,None,long sleeves,None
18171564,Khaki,belted waist,cotton,None,mid-length,notched lapels,None,KINTORE trench coat,None,long sleeves,None
20152731,black,logo print at the chest,duck feather,padded,None,None,funnel neck,drawstring-waist,classic hood,long sleeves,None
20938919,light green,layered details,None,None,None,classic collar,None,asymmetric trench coat,None,long sleeves,asymmetric hem
19998964,"medium grey, dark grey","contrasting border, fringed edge",wool,None,None,None,open front,cape,None,None,handkerchief hem
21288763,ecru,tonal stitching,None,None,mid-length,shawl lapels,None,single-breasted,None,long sleeves,straight hem
18995943,blue,logo patch,virgin wool blend,embossed gold-tone buttons,None,notched lapels,None,double-breasted,None,long sleeves,straight hem
18768527,jet black,logo patch at the chest,cotton blend,None,None,spread collar,None,trench coat,None,long sleeves,None
20874382,"cedar brown, houndstooth pattern","double-breasted, mock neck, chest welt pocket, two front flap pockets, drop shoulder, buttoned cuffs, American rear vent",cotton-wool blend,None,mid-calf length,None,mock neck,double-breasted,None,"long sleeves, buttoned cuffs",straight hem
18664836,black,embossed gold-tone buttons,None,None,None,classic collar,None,single-breasted button-up,None,long sleeves,straight hem
16665133,navy-blue,notched lapels,virgin wool/cashmere blend,None,below-knee length,notched lapels,None,double-breasted,None,long sleeves,central rear vent
18654005,black,logo patch to the front,feather down,"padded design, quilted",long,high neck,high neck,puffer parka,detachable hood,ribbed cuffs,side slits
20112880,black,gold-tone hardware,virgin wool-cashmere blend,None,mid-calf,notched lapels,None,belted,None,long sleeves,central rear vent
20085440,ecru,pleat detailing,None,None,None,notched lapels,None,A-line flared design,None,long sleeves,central rear vent
20929207,black,"double-breasted, notched lapels, shoulder pads, chest welt pocket, two front flap pockets, buttoned cuffs",virgin wool,None,knee-length,notched lapels,None,straight,None,long sleeves,straight hem
20889274,navy blue,logo-debossed buttons,virgin wool blend,None,None,notched lapels,V-neck,double-breasted peacoat,None,long sleeves,straight hem
16112877,Honey,checked lining,cotton,None,None,classic collar,None,The Pimlico Heritage Car coat,None,long sleeves,central rear vent
19018588,black,logo patch at the sleeve,duck feather,padded design,straight hem,None,None,None,classic hood,ribbed cuffs,straight hem
18600125,black,quilted,cotton blend,padded,long,None,None,puffer coat,drawstring hood,long sleeves,straight hem
18847318,navy blue,double-breasted button fastening,wool,None,None,classic lapels,None,fitted,None,long sleeves,None
20847767,jet black,buttoned cuffs,shearling,None,mid-calf length,notched lapels,None,None,None,long sleeves,straight hem
19350674,black,diamond quilting,leather,logo plaque,mid-length,classic collar,None,trench-coat,None,long sleeves,None
17848483,black,logo patch at the sleeve,down-feather filling,"wind-resistant, reflective detailing",None,None,funnel neck,parka coat,drawstring hood,long sleeves,None
20544259,blush beige,quilted panels,wool-cashmere blend,down-feather filling,None,None,funnel neck,cape,None,dolman sleeves,fringed edge
20142504,charcoal grey,silver-tone logo plaque,None,full lining,long length,notched lapels,None,double-breasted long-length coat,None,"long sleeves, split cuffs","straight hem, central rear vent"
20249530,beige,shoulder pads,wool,double-breasted,None,peak lapels,None,straight hem,None,buttoned cuffs,straight hem
21339456,ivory white,belted waist,cashmere,None,calf-length,notched collar,None,single-breasted,None,long sleeves,central rear vent
20842840,camel brown,reversible,virgin wool blend,None,None,notched lapels,None,belted-waist coat,None,long sleeves,straight hem
19381775,taupe brown,belted waist,goose down,quilted,None,None,None,padded design,None,None,None
20043954,leopard print,fringed edge,wool-cashmere blend,multicolour,None,None,high neck,cape design,None,None,asymmetric hem
19907682,black,high-shine,None,high-shine finish,None,None,funnel neck,padded,None,long sleeves,None
20682750,camel brown,logo patch to the side,wool,knitted construction,knee-length,spread collar,None,cape design,None,None,None
21389997,medium grey,herringbone pattern,wool,None,None,notched lapels,None,single-breasted,None,long sleeves,straight hem
18434681,navy blue,peak lapels,wool,None,None,None,None,double-breasted,None,long sleeves,straight hem
20142309,chocolate brown,single-breasted,calf leather,None,knee-length,notched lapels,None,trench coat,None,long sleeves,None
18454938,fawn,epaulettes,cotton/calf leather,garbardine,None,notched collar,None,trench coat,None,long sleeves,None
20513598,midnight blue,logo patch at the sleeve,down-feather filling,padded design,straight hem,drawstring neck,None,None,None,None,straight hem
20269101,beige,Vintage Check-trim,cotton blend,gabardine weave,thigh-length,wide notch lapels,None,short trench coat,None,long sleeves,straight hem
20963270,black,diamond-quilted detailing,duck down,logo patch to the side,below-knee length,None,crew neck,quilted long gilet,None,sleeveless,straight hem
18723628,"blue, Vintage Check pattern","epaulettes, storm flap, double-breasted button fastening, two side button-fastening pockets, belted waist, belted cuffs, rear slit",cotton,None,Mid-length,"classic collar, Ulster lapels",None,Chelsea Heritage trench coat,None,long sleeves,straight hem
21413321,dark green,belted waist,"cotton, shearling",shearling,mid-length,notched lapels,None,trench coat,None,long sleeves,straight hem
18963092,beige,Vintage Check-pattern lining,cotton,None,Long,notched lapels,None,Kensington Heritage trench coat,None,belted cuffs,central rear vent
20758301,milk white,buttoned cuffs,virgin wool,None,thigh-length,notched lapels,None,double-breasted,None,long sleeves,None
18600123,military green,padded design,cotton blend,None,mid-length,None,None,long puffer coat,drawstring hood,long sleeves,straight hem
20077931,beige,"['padded', 'quilted']",feather down,None,None,None,None,None,classic hood,None,None
20642722,black,Vintage Check-pattern lining,None,None,thigh-length,wide peak lapels,None,double-breasted trench coat,None,long sleeves,None
19350675,black,enamel triangle logo,recycled nylon,down-feather filling,None,stand-up collar,None,None,classic hood,long sleeves,None
19842395,beige,checked lining,cotton,None,None,notched collar,None,trench coat,None,long sleeves,straight hem
19476960,beige,quilted,down-feather filling,water-repellent,None,None,None,parka,detachable hood,long sleeves,straight hem
21110222,black,double-breasted,wool,None,None,notched lapels,None,A-line,None,long sleeves,flared hem
20288804,cedar brown,notched lapels,wool-cashmere blend,felted,long length,notched-lapel,None,double-breasted coat,None,None,central rear vent
20756850,raspberry pink,"double-breasted, drop shoulder, buttoned cuffs, two front flap pockets, American rear vent",virgin wool-cashmere blend,None,None,notched lapels,None,Efegozi,None,long sleeves,straight hem
19885191,blue,front zip fastening,cotton,None,None,None,None,hooded jacket,classic hood,long sleeves,None
18213197,Dark green,panelled design,leather,distressed finish,None,notched collar,None,double-breasted,None,long sleeves,central rear vent
18664837,houndstooth,double-breasted,None,None,below-knee,classic lapels,None,None,None,long,straight
19149423,sand beige,shearling trim,calf leather,shearling-lined,None,None,None,suede jacket,None,long sleeves,straight hem
19383261,beige,drawstring waist,None,None,None,None,None,hooded coat,classic hood,long sleeves,None
20621093,black/white,houndstooth,None,None,None,collarless,None,double-breasted,None,long sleeves,straight hem
20140846,brown,buttoned-cuff sleeves,virgin wool blend,None,knee-length,peak lapels,None,double-breasted,None,long sleeves,central rear vent
21356917,ecru,peak lapels,virgin wool-cashmere blend,None,None,None,None,double-breasted,None,long sleeves,straight hem
20268297,"beige, multicolour, house check pattern","reversible, panelled design",cotton,None,None,classic collar,None,car coat,None,"long sleeves, belted cuffs",straight hem
17052553,Brown,belted,lamb skin,None,mid-length,rounded collar,None,belted leather coat,None,long sleeves,None
19908615,khaki,"double-breasted button fastening, belted waist, buttoned cuffs, four front flap pockets",cotton,front zip fastening,straight hem,wide notch lapels,None,layered trench coat,None,long sleeves,straight hem
21247711,taupe,"jetted chest pocket, two front flap pockets, buttoned cuffs, central rear vent",cotton blend,full lining,above-knee length,peak lapels,None,double-breasted coat,None,long sleeves,straight hem
20472262,"navy blue, multicolour, patterned jacquard",textured finish,None,textured finish,None,spread collar,None,double-breasted,None,three-quarter length sleeves,central rear vent
21001059,light pink,appliqué logo,feather down,tonal stitching,knee-length,None,high neck,padded design,drawstring hood,long sleeves,straight hem
19948599,coffee brown,felted,None,None,mid-length,pointed flat collar,None,Croissant midi coat,None,long raglan sleeves,straight hem
19999857,olive green,fringed edge,virgin wool,knitted construction,None,None,open front,None,None,long sleeves,straight hem
20621665,navy blue,gold-tone hardware,goose down,quilted,straight hem,None,high neck,belted quilted coat,drawstring hood,long sleeves,straight hem
19392181,beige,number patch to the front,sheer,None,floor-length,notched lapels,None,trench coat,None,long sleeves,None
18614332,leopard print,logo patch,wool blend,None,None,notched lapels,None,oversized,None,long sleeves,straight hem
16732597,Honey,checked lining,cotton/calf leather,None,long,notched lapels,None,Chelsea Heritage,None,long sleeves,None
20044165,black/multicolour,patchwork design,faux-fur,faux-fur design,maxi,None,None,None,None,long sleeves,long length
20278890,black,logo patch at the sleeve,faux-fur,padded design,None,None,high neck,faux-fur design,None,long sleeves,drawstring hem
20142519,black,logo plaque,None,full lining,long length,peak lapels,V-neck,double-breasted,None,long sleeves,straight hem
20046803,black,faux-shearling trim,faux leather,None,None,classic collar,None,None,None,long sleeves,straight hem
19775980,black,logo patch at the sleeve,None,water-repellent,None,None,None,None,classic hood,"long sleeves, elasticated cuffs",None
19161246,camel brown,"notched lapels, double-breasted button fastening, belted waist, epaulettes, central rear vent",cashmere,knitted construction,mid-length,notched lapels,None,trench coat,None,long sleeves,None
20046804,geometric-pattern light beige light brown,concealed front fastening,faux-fur,None,calf-length,shawl collar,V-neck,faux-fur design,None,long sleeves,straight hem
19906716,multicolour,patterned jacquard,wool blend,None,None,shawl lapels,None,None,None,long sleeves,None
20233903,dark khaki,"epaulettes, storm flap, D-ring buckle",cotton,None,calf-length,classic collar,None,Waterloo trench coat,None,"long sleeves, belted cuffs",None
20705185,beige,belted waist,cotton blend,None,None,notched collar,None,double-breasted belted trench coat,None,long sleeves,None
18417474,black,logo print to the rear,cotton,None,mid-length,stand-up collar,None,parka,classic hood,long sleeves,high-low hem
19124019,"archive beige, check print",checked-detail,wool,None,mid-length,None,None,wrap coat,classic hood,long sleeves,None
18930748,"honey, Vintage Check pattern","concealed front button fastening, two diagonal pockets to the sides",cotton,None,None,classic collar,None,Camden Heritage car coat,None,long sleeves,None
20857343,khaki,contrasting trim,None,quilted,None,classic collar,None,single-breasted,None,long sleeves,curved hem
20485800,medium grey,notched lapels,virgin wool,concealed front fastening,mid-length,notched lapels,None,single-breasted,None,long sleeves,central rear vent
19055137,sage green,belted waist,stretch-cotton,padded design,long length,None,concealed front fastening,puffer coat,classic hood,long sleeves,None
18514946,black,notched lapels,cotton,None,None,notched lapels,None,double-breasted trench coat,None,long sleeves,None
20579101,beige,belted waist,stretch-cotton,None,mid-length,notched collar,None,sleeveless kite trench coat,None,sleeveless,central rear vent
19420166,light brown,storm flap,cotton,None,below-knee,wide notch lapels,None,double-breasted,None,epaulettes,straight
20787571,black,"off-centre front fastening, front tie fastening, shoulder pads, detachable belt",wool-cashmere blend,felted,mid,peak lapels,None,None,None,long sleeves,None
19278375,black,padded design,None,None,None,None,high neck,oversized Mantel,None,long sleeves,None
20927788,"burgundy, all-over snakeskin print","tied waist, side pouch pockets",lambskin,snake-effect,floor-length,notched lapels,None,trench coat,None,long sleeves,straight hem
20379831,light beige,buckle-embellished,duck down,quilted,None,throat latch,None,padded design,drawstring hood,"long sleeves, elasticated cuffs",drawstring hem
18318677,blue,front flap pocket,None,None,None,None,None,hooded jacket,classic hood,long sleeves,None
18906877,anthracite grey,signature four-stitch logo,wool,contrast stitching,mid-length,"wide peak lapels, contrasting collar",None,double-breasted,None,long sleeves,None
20153436,cow print,belted cuffs,cotton,None,mid-length,notched lapels,None,trench coat,None,belted cuffs,central rear vent
18727635,honey,epaulettes,cotton,None,mid-length,classic collar,None,trench coat,None,long sleeves,None
20895696,almond beige,ribbed cuffs,lambs wool,teddy,below-knee length,mock neck,None,drop shoulder,None,long sleeves,curved hem
20755003,dark grey,belted waist,wool shearling,shearling,None,wide notch lapels,None,None,None,long sleeves,straight hem
20152725,taupe grey,"bouclé construction, wide peak lapels, chest welt pocket, two side flap pockets, central rear vent",wool blend,bouclé-texture,mid-length,wide peak lapels,None,double-breasted,None,long sleeves,None
18576565,beige,faux-fur detail,faux-fur,None,None,notched collar,None,None,None,long sleeves,None
20368381,ecru,belted waist,shearling,reversible,calf-length,shawl lapels,None,None,None,long sleeves,straight hem
20954626,grey,floral embroidery,virgin wool blend,None,None,notched lapels,None,single-breasted,None,long sleeves,straight hem
20930363,black,gold-tone buttons,alpaca wool-blend,brushed effect,calf-length,peak lapels,None,double-breasted,None,long sleeves,central rear vent
20044164,"Maiolica-print, off-white, dark red",pussy-bow,silk,None,floor-length,pussy-bow collar,None,draped design,None,long sleeves,None
16158481,Black,felted,wool-cashmere,draped,side slits,oversized lapels,None,oversized,None,long sleeves,straight hem
19947988,green,"diamond quilting, faux-shearling trim",None,None,None,None,None,None,classic hood,long sleeves,straight hem
20046850,black,"notched lapels, chest welt pocket, front button fastening, two front flap pockets",wool,single-breasted,above-knee length,notched lapels,V-neck,straight,None,long sleeves,straight hem
20872059,cream white,"concealed front button fastening, two side slit pockets, side slits",virgin wool blend,None,mid-calf,notched,None,single-breasted,None,long,None
20518705,charcoal grey,ribbed-knit edge,cashmere,padded design,mid-length,None,None,None,classic hood,long sleeves,straight hem
18687822,black,belted waist,cotton,None,None,classic collar,None,Chelsea trench coat,None,long sleeves,None
17781326,khaki beige,double-breasted,cotton blend,None,mid-length,notched lapels,None,None,None,long sleeves,None
21012645,black,notched lapels,virgin wool,brushed effect,thigh-length,notched lapels,None,single-breasted,None,long sleeves,straight hem
18955658,jet black,padded design,None,None,None,stand-up collar,None,zipped-up,None,long sleeves,None
20911701,brown,belted,faux-fur,faux-fur design,None,notched lapels,None,None,None,long sleeves,straight hem
19750547,"white, beige",drawstring,goose down,padded design,None,None,None,reversible,drawstring hood,"long sleeves, ribbed cuffs",None
20744469,archive beige,storm flap,organic cotton,None,None,notched lapels,None,trench coat,None,long sleeves,straight hem
20914628,"navy blue, camel brown, grey","notched lapels, front button fastening, two side flap pockets, buttoned cuffs, central rear vent","cashmere, wool",None,mid-length,notched lapels,None,single-breasted,None,long sleeves,None
19077142,off-white,faux fur-trimmed,None,padded,None,None,None,quilted,faux fur-trimmed hood,long sleeves,straight hem
21067909,jet black,"logo-buckle detail, gold-tone hardware",None,None,None,notched lapels,None,belted,None,long sleeves,flared hem
20847663,burnt orange,padded design,duck feather,None,None,None,None,zip-up hooded coat,drawstring hood,long sleeves,None
18714761,Silverbirch,front zip fastening,feather down,None,None,None,None,Cypress hooded coat,classic hood,long sleeves,None
21237178,black,notched lapels,virgin wool blend,None,mid-calf length,notched lapels,None,double-breasted,None,long sleeves,straight hem
14783251,Beige,pleated,None,None,None,None,None,trench coat,None,long sleeves,None
17848314,beige,"belted waist, belted cuffs, rear slit",cotton,None,mid-length,spread collar,None,trench coat,detachable hood,long sleeves,None
18706054,black,belted waist,virgin wool blend,None,mid-length,notched lapels,None,single-breasted,None,long sleeves,None
20638064,None,layered,"wool blend, feather down",quilted,None,notched lapels,None,None,None,long sleeves,straight hem
20246411,black/multicolour,"Vintage Check-pattern lining, storm flap",cotton,gabardine weave,above-knee,classic collar,None,trench coat,None,long sleeves,straight hem
16102918,Black,Vintage Check-pattern lining,None,diamond quilting,mid-length,None,None,None,drawstring hood,long sleeves,None
20485122,cream white,quilted,feather down,padded,thigh-length,None,high neck,None,None,long sleeves,straight hem
19390332,white/black,contrasting border,None,transparent design,below-knee,notched lapels,None,long coat,None,long sleeves,None
17141315,Black,"double-breasted button fastening, belted waist, belted cuffs, two side flap pockets",feather down,padded,mid-length,None,None,detachable-hood padded coat,detachable hood,long sleeves,straight hem
16692292,Hunter green,"signature four-stitch logo, wide notch lapels",certified recycled or upcycled materials,quilted,long length,wide notch lapels,None,double-breasted,None,long sleeves,None
20904046,charcoal grey,felted,None,None,mid-length,pointed flat collar,None,Le Manteau Croissant midi coat,None,long raglan sleeves,straight hem
20696899,dark green,"crystal-embellished buttons, crystal embellishment, ruffled detailing",jacquard,None,None,None,round neck,None,None,long sleeves,None
20121139,black,notched lapels,wool,shoulder pads,long,notched lapels,None,single-breasted,None,long sleeves,straight hem
19947637,brown,"front button fastening, two side inset pockets",wool blend,None,calf-length,None,high neck,Officer,None,long sleeves,straight hem
16294169,Green,"double-breasted, front button fastening, belted cuffs",cotton,None,None,classic collar,None,jacket,None,long sleeves,None
19991742,light beige,belted waist,None,None,calf-length,classic collar,None,trench coat,None,long sleeves,straight hem
20988580,aubergine,fleece texture,Agneau,None,None,notched collar,None,None,None,long sleeves,straight hem
20992228,chocolate brown,belted waist,virgin wool,None,mid-length,wide notch lapels,None,notched-lapel belted trench coat,None,long sleeves,straight hem
20586244,light beige,shoulder pads,virgin wool,None,below-knee,peak lapels,None,double-breasted,None,long sleeves,straight hem
20746560,jet black,belted waist,cashmere,None,long length,notched lapels,None,None,None,long sleeves,straight hem
21252522,"multicolour, graffiti print","logo-print drawstring, cuff zips, contrast lining",None,None,None,None,funnel neck,puff parka,classic hood,None,None
18704395,blue,snap button-fastening cuffs,down-feather filling,padded,mid-length,None,None,Raso,classic hood,long sleeves,None
19096685,beige,front button fastening,virgin wool,None,below-knee length,spread collar,None,single-breasted,None,long sleeves,rear curved hem
20151443,"brown, multicolour","belted waist, buttoned-cuff sleeves","wool blend, tweed",None,None,notched lapels,None,double-breasted,None,"balloon sleeves, long sleeves","straight hem, central rear vent"
17334646,Black,concealed front fastening,wool-blend,None,long,None,None,puffer coat,classic hood,long sleeves,None
19840352,ivory white,"logo-embossed buttons, two front flap pockets, buttoned cuffs, locker loop",wool,full lining,thigh-length,collarless,None,None,None,crop sleeves,straight hem
20982629,navy blue,faux-fur detailing,None,fleece lining,None,spread collar,None,parka coat,None,long sleeves,straight hem
20867057,black,lace-up detailing,None,padded,knee-length,stand-up collar,None,flared,None,long sleeves,flared hem
19975939,black,faux-fur detailing,faux-fur,None,mid-calf length,peak lapels,None,coat,None,long sleeves,straight hem
16787669,Black,enamel triangle logo,recycled nylon,lightweight construction,rear curved hem,None,None,oversized,drawstring hood,long sleeves,rear curved hem
19907373,black,panelled design,lambskin,signature Medusa Head buttons,None,peak lapels,None,None,None,long sleeves,central rear vent
20956691,black,"Medusa Head motif, logo patch at the sleeve, belted cuffs",wool blend,None,None,notched lapels,None,double-breasted coat,None,long sleeves,None
19538758,black,notched lapels,cashmere,None,mid-calf,notched,None,open-front,None,long,straight
19452890,sand beige,"double-breasted, belted, epaulettes, drop shoulder, buttoned cuffs, storm flap, button-fastening pockets, central rear vent",organic cotton blend,twill weave,long length,classic collar,None,trench coat,None,long sleeves,None
16733304,Midnight blue,"epaulettes, storm flap",cotton blend,None,None,notched lapels,None,Chelsea Heritage trench coat,None,long sleeves,central rear vent
20110472,black,belted waist,goose down,padded design,None,Cuban collar,None,single-breasted coat,None,long sleeves,straight hem
18900437,black,logo patch at the sleeve,cotton blend,padded design,None,None,None,Shelburne parka,classic hood,long sleeves,None
15974837,Beige,belted waist,cotton,None,Short,straight-point collar,None,The Short Islington trench coat,None,long sleeves,None
20921764,"denim patchwork design, indigo blue, white","logo patch to the rear, shearling lining","cotton, cashmere, lambskin",None,mid-length,None,round neck,single-breasted coat,None,long sleeves,None
20701838,black,quilted,velour,goose down,None,None,None,padded design,hooded,long sleeves,straight hem
15803680,Black,logo patch,goose down,None,None,None,funnel neck,Moka puffer coat,detachable hood,long sleeves,None
15620301,Grey,"RWB stripe, frayed edge",wool,frayed edge,None,notched lapels,None,None,None,"long sleeves, buttoned cuffs",side slits
18963153,archive beige,Vintage Check-pattern lining,cotton,None,Mid-length,spread collar,None,Chelsea Heritage trenchcoat,None,long sleeves,None
16652270,Black,down-feather filling,Raso,None,mid-length,None,None,hooded padded coat,classic hood,long sleeves,None
20142490,brown,padlock fastening,lambskin,None,None,stand-up collar,None,None,classic hood,long sleeves,straight hem
20001215,"light grey, tartan check pattern",fringed edge,wool-cashmere blend,None,cape design,None,None,cape design,None,long wide sleeves,asymmetric hem
20514811,black,logo patch at the sleeve,recycled nylon,laqué lining,mid-calf length,None,high neck,padded design,classic hood,long sleeves,None
18848495,black,"epaulettes, storm flap, Ulster lapels, double-breasted button fastening, two front button-fastening jetted pockets, tied waist, D-ring findings, belted cuffs",cotton,None,thigh-length,Ulster lapels,None,Short Chelsea Heritage trench coat,None,long sleeves,None
